# Frequency (Hz)	EO Bandwidth (dB)
1.00e+08	-0.000007
2.00e+08	-0.000027
3.00e+08	-0.000060
4.00e+08	-0.000107
5.00e+08	-0.000166
6.00e+08	-0.000240
7.00e+08	-0.000326
8.00e+08	-0.000426
9.00e+08	-0.000539
1.00e+09	-0.000666
1.10e+09	-0.000805
1.20e+09	-0.000959
1.30e+09	-0.001125
1.40e+09	-0.001305
1.50e+09	-0.001498
1.60e+09	-0.001704
1.70e+09	-0.001924
1.80e+09	-0.002156
1.90e+09	-0.002403
2.00e+09	-0.002662
2.10e+09	-0.002935
2.20e+09	-0.003221
2.30e+09	-0.003520
2.40e+09	-0.003833
2.50e+09	-0.004159
2.60e+09	-0.004498
2.70e+09	-0.004851
2.80e+09	-0.005216
2.90e+09	-0.005596
3.00e+09	-0.005988
3.10e+09	-0.006393
3.20e+09	-0.006812
3.30e+09	-0.007244
3.40e+09	-0.007690
3.50e+09	-0.008148
3.60e+09	-0.008620
3.70e+09	-0.009105
3.80e+09	-0.009604
3.90e+09	-0.010115
4.00e+09	-0.010640
4.10e+09	-0.011178
4.20e+09	-0.011729
4.30e+09	-0.012294
4.40e+09	-0.012872
4.50e+09	-0.013463
4.60e+09	-0.014067
4.70e+09	-0.014684
4.80e+09	-0.015315
4.90e+09	-0.015958
5.00e+09	-0.016615
5.10e+09	-0.017285
5.20e+09	-0.017969
5.30e+09	-0.018665
5.40e+09	-0.019375
5.50e+09	-0.020097
5.60e+09	-0.020833
5.70e+09	-0.021582
5.80e+09	-0.022345
5.90e+09	-0.023120
6.00e+09	-0.023908
6.10e+09	-0.024710
6.20e+09	-0.025525
6.30e+09	-0.026353
6.40e+09	-0.027193
6.50e+09	-0.028048
6.60e+09	-0.028915
6.70e+09	-0.029795
6.80e+09	-0.030688
6.90e+09	-0.031595
7.00e+09	-0.032514
7.10e+09	-0.033446
7.20e+09	-0.034392
7.30e+09	-0.035351
7.40e+09	-0.036322
7.50e+09	-0.037307
7.60e+09	-0.038304
7.70e+09	-0.039315
7.80e+09	-0.040339
7.90e+09	-0.041375
8.00e+09	-0.042425
8.10e+09	-0.043488
8.20e+09	-0.044563
8.30e+09	-0.045652
8.40e+09	-0.046753
8.50e+09	-0.047868
8.60e+09	-0.048995
8.70e+09	-0.050136
8.80e+09	-0.051289
8.90e+09	-0.052455
9.00e+09	-0.053634
9.10e+09	-0.054826
9.20e+09	-0.056031
9.30e+09	-0.057248
9.40e+09	-0.058479
9.50e+09	-0.059722
9.60e+09	-0.060979
9.70e+09	-0.062248
9.80e+09	-0.063530
9.90e+09	-0.064824
1.00e+10	-0.066132
1.01e+10	-0.067452
