# Frequency (Hz)	EO Bandwidth (dB)
2.45e+10	-1.929236
2.46e+10	-1.942312
2.47e+10	-1.955407
2.48e+10	-1.968520
2.49e+10	-1.981652
2.50e+10	-1.994802
2.51e+10	-2.007971
2.52e+10	-2.021157
2.53e+10	-2.034360
2.54e+10	-2.047581
2.55e+10	-2.060819
2.56e+10	-2.074074
2.57e+10	-2.087345
2.58e+10	-2.100633
2.59e+10	-2.113937
2.60e+10	-2.127257
2.61e+10	-2.140593
2.62e+10	-2.153944
2.63e+10	-2.167311
2.64e+10	-2.180692
2.65e+10	-2.194089
2.66e+10	-2.207500
2.67e+10	-2.220926
2.68e+10	-2.234365
2.69e+10	-2.247819
2.70e+10	-2.261287
2.71e+10	-2.274768
2.72e+10	-2.288263
2.73e+10	-2.301770
2.74e+10	-2.315291
2.75e+10	-2.328825
2.76e+10	-2.342371
2.77e+10	-2.355929
2.78e+10	-2.369500
2.79e+10	-2.383082
2.80e+10	-2.396677
2.81e+10	-2.410283
2.82e+10	-2.423900
2.83e+10	-2.437528
2.84e+10	-2.451168
2.85e+10	-2.464818
2.86e+10	-2.478479
2.87e+10	-2.492151
2.88e+10	-2.505832
2.89e+10	-2.519524
2.90e+10	-2.533225
2.91e+10	-2.546937
2.92e+10	-2.560657
2.93e+10	-2.574388
2.94e+10	-2.588127
2.95e+10	-2.601875
2.96e+10	-2.615632
2.97e+10	-2.629398
2.98e+10	-2.643172
2.99e+10	-2.656954
3.00e+10	-2.670744
3.01e+10	-2.684543
3.02e+10	-2.698349
3.03e+10	-2.712162
3.04e+10	-2.725984
3.05e+10	-2.739812
3.06e+10	-2.753647
3.07e+10	-2.767490
3.08e+10	-2.781339
3.09e+10	-2.795194
3.10e+10	-2.809057
3.11e+10	-2.822925
3.12e+10	-2.836800
3.13e+10	-2.850680
3.14e+10	-2.864566
3.15e+10	-2.878458
3.16e+10	-2.892356
3.17e+10	-2.906259
3.18e+10	-2.920167
3.19e+10	-2.934080
3.20e+10	-2.947998
3.21e+10	-2.961920
3.22e+10	-2.975848
3.23e+10	-2.989779
3.24e+10	-3.003715
3.25e+10	-3.017656
3.26e+10	-3.031600
3.27e+10	-3.045548
3.28e+10	-3.059500
3.29e+10	-3.073455
3.30e+10	-3.087414
3.31e+10	-3.101376
3.32e+10	-3.115342
3.33e+10	-3.129310
3.34e+10	-3.143282
3.35e+10	-3.157256
3.36e+10	-3.171233
3.37e+10	-3.185212
3.38e+10	-3.199194
3.39e+10	-3.213178
3.40e+10	-3.227164
3.41e+10	-3.241152
3.42e+10	-3.255142
3.43e+10	-3.269134
3.44e+10	-3.283128
3.45e+10	-3.297123
3.46e+10	-3.311119
3.47e+10	-3.325117
3.48e+10	-3.339115
3.49e+10	-3.353115
3.50e+10	-3.367116
3.51e+10	-3.381117
3.52e+10	-3.395120
3.53e+10	-3.409122
3.54e+10	-3.423126
3.55e+10	-3.437129
3.56e+10	-3.451133
3.57e+10	-3.465137
3.58e+10	-3.479141
3.59e+10	-3.493145
3.60e+10	-3.507148
3.61e+10	-3.521151
3.62e+10	-3.535154
3.63e+10	-3.549157
3.64e+10	-3.563158
3.65e+10	-3.577159
3.66e+10	-3.591159
3.67e+10	-3.605158
3.68e+10	-3.619156
3.69e+10	-3.633153
