# Frequency (Hz)	EO Bandwidth (dB)
5.40e+10	-2.351948
5.41e+10	-2.358898
5.42e+10	-2.365852
5.43e+10	-2.372809
5.44e+10	-2.379769
5.45e+10	-2.386732
5.46e+10	-2.393698
5.47e+10	-2.400667
5.48e+10	-2.407640
5.49e+10	-2.414615
5.50e+10	-2.421593
5.51e+10	-2.428574
5.52e+10	-2.435558
5.53e+10	-2.442545
5.54e+10	-2.449535
5.55e+10	-2.456528
5.56e+10	-2.463523
5.57e+10	-2.470522
5.58e+10	-2.477523
5.59e+10	-2.484527
5.60e+10	-2.491533
5.61e+10	-2.498542
5.62e+10	-2.505554
5.63e+10	-2.512569
5.64e+10	-2.519586
5.65e+10	-2.526606
5.66e+10	-2.533628
5.67e+10	-2.540653
5.68e+10	-2.547680
5.69e+10	-2.554710
5.70e+10	-2.561742
5.71e+10	-2.568777
5.72e+10	-2.575814
5.73e+10	-2.582854
5.74e+10	-2.589896
5.75e+10	-2.596940
5.76e+10	-2.603987
5.77e+10	-2.611036
5.78e+10	-2.618087
5.79e+10	-2.625141
5.80e+10	-2.632196
5.81e+10	-2.639254
5.82e+10	-2.646314
5.83e+10	-2.653377
5.84e+10	-2.660441
5.85e+10	-2.667507
5.86e+10	-2.674576
5.87e+10	-2.681647
5.88e+10	-2.688719
5.89e+10	-2.695794
5.90e+10	-2.702871
5.91e+10	-2.709950
5.92e+10	-2.717030
5.93e+10	-2.724113
5.94e+10	-2.731197
5.95e+10	-2.738284
5.96e+10	-2.745372
5.97e+10	-2.752462
5.98e+10	-2.759554
5.99e+10	-2.766648
6.00e+10	-2.773743
6.01e+10	-2.780841
6.02e+10	-2.787940
6.03e+10	-2.795040
6.04e+10	-2.802143
6.05e+10	-2.809247
6.06e+10	-2.816353
6.07e+10	-2.823460
6.08e+10	-2.830569
6.09e+10	-2.837679
6.10e+10	-2.844792
6.11e+10	-2.851905
6.12e+10	-2.859020
6.13e+10	-2.866137
6.14e+10	-2.873255
6.15e+10	-2.880375
6.16e+10	-2.887496
6.17e+10	-2.894618
6.18e+10	-2.901742
6.19e+10	-2.908867
6.20e+10	-2.915994
6.21e+10	-2.923122
6.22e+10	-2.930251
6.23e+10	-2.937382
6.24e+10	-2.944513
6.25e+10	-2.951646
6.26e+10	-2.958781
6.27e+10	-2.965916
6.28e+10	-2.973053
6.29e+10	-2.980191
6.30e+10	-2.987330
6.31e+10	-2.994470
6.32e+10	-3.001611
6.33e+10	-3.008754
6.34e+10	-3.015897
6.35e+10	-3.023042
6.36e+10	-3.030187
6.37e+10	-3.037334
6.38e+10	-3.044482
6.39e+10	-3.051630
6.40e+10	-3.058780
6.41e+10	-3.065930
6.42e+10	-3.073082
6.43e+10	-3.080234
6.44e+10	-3.087387
6.45e+10	-3.094541
6.46e+10	-3.101696
6.47e+10	-3.108852
6.48e+10	-3.116009
6.49e+10	-3.123166
6.50e+10	-3.130324
6.51e+10	-3.137483
6.52e+10	-3.144643
6.53e+10	-3.151804
6.54e+10	-3.158965
6.55e+10	-3.166127
6.56e+10	-3.173289
6.57e+10	-3.180452
6.58e+10	-3.187616
6.59e+10	-3.194780
6.60e+10	-3.201946
6.61e+10	-3.209111
6.62e+10	-3.216277
6.63e+10	-3.223444
6.64e+10	-3.230611
6.65e+10	-3.237779
6.66e+10	-3.244948
6.67e+10	-3.252116
6.68e+10	-3.259286
6.69e+10	-3.266455
6.70e+10	-3.273626
6.71e+10	-3.280796
6.72e+10	-3.287967
6.73e+10	-3.295138
6.74e+10	-3.302310
6.75e+10	-3.309482
6.76e+10	-3.316655
6.77e+10	-3.323827
6.78e+10	-3.331001
6.79e+10	-3.338174
6.80e+10	-3.345347
6.81e+10	-3.352521
6.82e+10	-3.359695
6.83e+10	-3.366870
6.84e+10	-3.374044
6.85e+10	-3.381219
6.86e+10	-3.388394
6.87e+10	-3.395569
6.88e+10	-3.402744
6.89e+10	-3.409920
6.90e+10	-3.417095
6.91e+10	-3.424271
6.92e+10	-3.431447
6.93e+10	-3.438622
6.94e+10	-3.445798
6.95e+10	-3.452974
6.96e+10	-3.460150
6.97e+10	-3.467326
6.98e+10	-3.474502
6.99e+10	-3.481677
7.00e+10	-3.488853
7.01e+10	-3.496029
7.02e+10	-3.503205
7.03e+10	-3.510380
7.04e+10	-3.517556
7.05e+10	-3.524731
7.06e+10	-3.531907
7.07e+10	-3.539082
7.08e+10	-3.546257
7.09e+10	-3.553432
7.10e+10	-3.560606
7.11e+10	-3.567781
7.12e+10	-3.574955
7.13e+10	-3.582129
7.14e+10	-3.589303
7.15e+10	-3.596477
7.16e+10	-3.603650
7.17e+10	-3.610823
7.18e+10	-3.617996
7.19e+10	-3.625169
7.20e+10	-3.632341
7.21e+10	-3.639513
7.22e+10	-3.646684
7.23e+10	-3.653855
7.24e+10	-3.661026
7.25e+10	-3.668197
7.26e+10	-3.675367
7.27e+10	-3.682536
7.28e+10	-3.689705
7.29e+10	-3.696874
7.30e+10	-3.704043
7.31e+10	-3.711210
7.32e+10	-3.718378
7.33e+10	-3.725545
7.34e+10	-3.732711
7.35e+10	-3.739877
7.36e+10	-3.747043
7.37e+10	-3.754207
7.38e+10	-3.761372
7.39e+10	-3.768535
7.40e+10	-3.775699
7.41e+10	-3.782861
7.42e+10	-3.790023
7.43e+10	-3.797185
7.44e+10	-3.804346
7.45e+10	-3.811506
7.46e+10	-3.818665
7.47e+10	-3.825824
7.48e+10	-3.832982
7.49e+10	-3.840140
7.50e+10	-3.847297
7.51e+10	-3.854453
7.52e+10	-3.861608
7.53e+10	-3.868763
7.54e+10	-3.875917
7.55e+10	-3.883070
7.56e+10	-3.890223
7.57e+10	-3.897374
7.58e+10	-3.904525
7.59e+10	-3.911675
7.60e+10	-3.918825
7.61e+10	-3.925973
7.62e+10	-3.933121
7.63e+10	-3.940268
7.64e+10	-3.947414
7.65e+10	-3.954559
7.66e+10	-3.961703
7.67e+10	-3.968846
7.68e+10	-3.975989
7.69e+10	-3.983130
7.70e+10	-3.990271
7.71e+10	-3.997411
7.72e+10	-4.004550
7.73e+10	-4.011687
7.74e+10	-4.018824
7.75e+10	-4.025960
7.76e+10	-4.033095
7.77e+10	-4.040229
7.78e+10	-4.047362
7.79e+10	-4.054494
7.80e+10	-4.061625
7.81e+10	-4.068755
7.82e+10	-4.075884
7.83e+10	-4.083012
7.84e+10	-4.090139
7.85e+10	-4.097264
7.86e+10	-4.104389
7.87e+10	-4.111513
7.88e+10	-4.118635
7.89e+10	-4.125756
7.90e+10	-4.132877
7.91e+10	-4.139996
7.92e+10	-4.147114
7.93e+10	-4.154231
7.94e+10	-4.161346
7.95e+10	-4.168461
7.96e+10	-4.175574
7.97e+10	-4.182686
7.98e+10	-4.189797
7.99e+10	-4.196907
8.00e+10	-4.204016
8.01e+10	-4.211123
8.02e+10	-4.218229
8.03e+10	-4.225334
8.04e+10	-4.232438
8.05e+10	-4.239540
8.06e+10	-4.246641
8.07e+10	-4.253741
8.08e+10	-4.260839
8.09e+10	-4.267937
8.10e+10	-4.275033
8.11e+10	-4.282127
8.12e+10	-4.289221
8.13e+10	-4.296313
8.14e+10	-4.303403
8.15e+10	-4.310493
8.16e+10	-4.317581
8.17e+10	-4.324667
8.18e+10	-4.331752
8.19e+10	-4.338836
8.20e+10	-4.345919
8.21e+10	-4.353000
8.22e+10	-4.360079
8.23e+10	-4.367158
8.24e+10	-4.374235
8.25e+10	-4.381310
8.26e+10	-4.388384
8.27e+10	-4.395457
8.28e+10	-4.402528
8.29e+10	-4.409597
8.30e+10	-4.416666
8.31e+10	-4.423732
8.32e+10	-4.430797
8.33e+10	-4.437861
8.34e+10	-4.444923
8.35e+10	-4.451984
8.36e+10	-4.459043
8.37e+10	-4.466101
8.38e+10	-4.473157
8.39e+10	-4.480212
8.40e+10	-4.487265
8.41e+10	-4.494316
8.42e+10	-4.501366
8.43e+10	-4.508415
8.44e+10	-4.515462
8.45e+10	-4.522507
8.46e+10	-4.529550
8.47e+10	-4.536593
8.48e+10	-4.543633
8.49e+10	-4.550672
8.50e+10	-4.557709
8.51e+10	-4.564745
8.52e+10	-4.571779
8.53e+10	-4.578811
8.54e+10	-4.585842
8.55e+10	-4.592871
8.56e+10	-4.599898
8.57e+10	-4.606924
8.58e+10	-4.613948
8.59e+10	-4.620970
8.60e+10	-4.627991
8.61e+10	-4.635010
8.62e+10	-4.642027
8.63e+10	-4.649043
8.64e+10	-4.656057
8.65e+10	-4.663069
8.66e+10	-4.670079
8.67e+10	-4.677088
8.68e+10	-4.684095
8.69e+10	-4.691100
8.70e+10	-4.698104
8.71e+10	-4.705105
8.72e+10	-4.712105
8.73e+10	-4.719103
8.74e+10	-4.726100
8.75e+10	-4.733094
8.76e+10	-4.740087
8.77e+10	-4.747078
8.78e+10	-4.754067
8.79e+10	-4.761055
8.80e+10	-4.768040
8.81e+10	-4.775024
8.82e+10	-4.782006
8.83e+10	-4.788986
8.84e+10	-4.795964
8.85e+10	-4.802941
8.86e+10	-4.809915
8.87e+10	-4.816888
8.88e+10	-4.823859
8.89e+10	-4.830828
8.90e+10	-4.837795
8.91e+10	-4.844760
8.92e+10	-4.851724
8.93e+10	-4.858685
8.94e+10	-4.865645
8.95e+10	-4.872602
8.96e+10	-4.879558
8.97e+10	-4.886512
8.98e+10	-4.893464
8.99e+10	-4.900414
9.00e+10	-4.907362
9.01e+10	-4.914308
9.02e+10	-4.921252
9.03e+10	-4.928195
9.04e+10	-4.935135
9.05e+10	-4.942073
9.06e+10	-4.949010
9.07e+10	-4.955944
9.08e+10	-4.962877
9.09e+10	-4.969807
9.10e+10	-4.976736
9.11e+10	-4.983662
9.12e+10	-4.990587
9.13e+10	-4.997509
9.14e+10	-5.004430
9.15e+10	-5.011349
9.16e+10	-5.018265
9.17e+10	-5.025180
9.18e+10	-5.032092
9.19e+10	-5.039003
9.20e+10	-5.045911
9.21e+10	-5.052817
9.22e+10	-5.059722
9.23e+10	-5.066624
9.24e+10	-5.073524
9.25e+10	-5.080423
9.26e+10	-5.087319
9.27e+10	-5.094213
9.28e+10	-5.101105
9.29e+10	-5.107995
9.30e+10	-5.114883
9.31e+10	-5.121769
9.32e+10	-5.128652
9.33e+10	-5.135534
9.34e+10	-5.142413
9.35e+10	-5.149291
9.36e+10	-5.156166
9.37e+10	-5.163039
9.38e+10	-5.169911
9.39e+10	-5.176780
9.40e+10	-5.183646
9.41e+10	-5.190511
9.42e+10	-5.197374
9.43e+10	-5.204234
9.44e+10	-5.211093
9.45e+10	-5.217949
9.46e+10	-5.224803
9.47e+10	-5.231655
9.48e+10	-5.238505
9.49e+10	-5.245352
9.50e+10	-5.252198
9.51e+10	-5.259041
9.52e+10	-5.265882
9.53e+10	-5.272721
9.54e+10	-5.279558
9.55e+10	-5.286393
9.56e+10	-5.293225
9.57e+10	-5.300055
9.58e+10	-5.306883
9.59e+10	-5.313709
9.60e+10	-5.320533
9.61e+10	-5.327354
9.62e+10	-5.334173
9.63e+10	-5.340990
9.64e+10	-5.347805
9.65e+10	-5.354618
9.66e+10	-5.361428
9.67e+10	-5.368236
9.68e+10	-5.375042
9.69e+10	-5.381846
9.70e+10	-5.388647
9.71e+10	-5.395447
9.72e+10	-5.402244
9.73e+10	-5.409038
9.74e+10	-5.415831
9.75e+10	-5.422621
9.76e+10	-5.429409
9.77e+10	-5.436195
9.78e+10	-5.442978
9.79e+10	-5.449759
9.80e+10	-5.456538
9.81e+10	-5.463315
9.82e+10	-5.470089
9.83e+10	-5.476861
9.84e+10	-5.483631
9.85e+10	-5.490399
9.86e+10	-5.497164
9.87e+10	-5.503927
9.88e+10	-5.510688
9.89e+10	-5.517446
9.90e+10	-5.524202
9.91e+10	-5.530956
9.92e+10	-5.537707
9.93e+10	-5.544456
9.94e+10	-5.551203
9.95e+10	-5.557948
9.96e+10	-5.564690
9.97e+10	-5.571430
9.98e+10	-5.578167
9.99e+10	-5.584903
1.00e+11	-5.591635
1.00e+11	-5.598366
1.00e+11	-5.605094
1.00e+11	-5.611820
1.00e+11	-5.618544
1.00e+11	-5.625265
1.01e+11	-5.631984
1.01e+11	-5.638700
1.01e+11	-5.645415
1.01e+11	-5.652126
1.01e+11	-5.658836
1.01e+11	-5.665543
1.01e+11	-5.672248
1.01e+11	-5.678950
1.01e+11	-5.685650
1.02e+11	-5.692348
1.02e+11	-5.699043
1.02e+11	-5.705736
1.02e+11	-5.712426
1.02e+11	-5.719115
1.02e+11	-5.725800
1.02e+11	-5.732484
1.02e+11	-5.739165
1.02e+11	-5.745843
1.02e+11	-5.752520
1.02e+11	-5.759193
1.03e+11	-5.765865
1.03e+11	-5.772534
1.03e+11	-5.779201
1.03e+11	-5.785865
1.03e+11	-5.792527
1.03e+11	-5.799186
1.03e+11	-5.805843
1.03e+11	-5.812498
1.03e+11	-5.819150
1.04e+11	-5.825800
1.04e+11	-5.832447
1.04e+11	-5.839092
1.04e+11	-5.845734
1.04e+11	-5.852375
1.04e+11	-5.859012
1.04e+11	-5.865648
1.04e+11	-5.872280
1.04e+11	-5.878911
1.04e+11	-5.885539
1.04e+11	-5.892164
1.05e+11	-5.898787
1.05e+11	-5.905408
1.05e+11	-5.912026
1.05e+11	-5.918642
1.05e+11	-5.925255
1.05e+11	-5.931866
1.05e+11	-5.938474
1.05e+11	-5.945080
1.05e+11	-5.951684
1.06e+11	-5.958285
1.06e+11	-5.964884
1.06e+11	-5.971480
1.06e+11	-5.978073
1.06e+11	-5.984665
1.06e+11	-5.991253
1.06e+11	-5.997840
1.06e+11	-6.004424
1.06e+11	-6.011005
1.06e+11	-6.017584
1.06e+11	-6.024160
1.07e+11	-6.030734
1.07e+11	-6.037306
1.07e+11	-6.043875
1.07e+11	-6.050441
1.07e+11	-6.057005
1.07e+11	-6.063567
1.07e+11	-6.070126
1.07e+11	-6.076683
