# Frequency (Hz)	EO Bandwidth (dB)
1.00e+08	-0.000010
2.00e+08	-0.000041
3.00e+08	-0.000093
4.00e+08	-0.000165
5.00e+08	-0.000257
6.00e+08	-0.000371
7.00e+08	-0.000505
8.00e+08	-0.000659
9.00e+08	-0.000834
1.00e+09	-0.001030
1.10e+09	-0.001246
1.20e+09	-0.001483
1.30e+09	-0.001740
1.40e+09	-0.002018
1.50e+09	-0.002317
1.60e+09	-0.002636
1.70e+09	-0.002975
1.80e+09	-0.003336
1.90e+09	-0.003716
2.00e+09	-0.004118
2.10e+09	-0.004540
2.20e+09	-0.004982
2.30e+09	-0.005445
2.40e+09	-0.005929
2.50e+09	-0.006433
2.60e+09	-0.006957
2.70e+09	-0.007502
2.80e+09	-0.008068
2.90e+09	-0.008654
3.00e+09	-0.009260
3.10e+09	-0.009887
3.20e+09	-0.010535
3.30e+09	-0.011203
3.40e+09	-0.011891
3.50e+09	-0.012600
3.60e+09	-0.013329
3.70e+09	-0.014079
3.80e+09	-0.014849
3.90e+09	-0.015640
4.00e+09	-0.016451
4.10e+09	-0.017282
4.20e+09	-0.018134
4.30e+09	-0.019006
4.40e+09	-0.019899
4.50e+09	-0.020811
4.60e+09	-0.021745
4.70e+09	-0.022698
4.80e+09	-0.023672
4.90e+09	-0.024666
5.00e+09	-0.025681
5.10e+09	-0.026715
5.20e+09	-0.027770
5.30e+09	-0.028846
5.40e+09	-0.029941
5.50e+09	-0.031057
5.60e+09	-0.032193
5.70e+09	-0.033349
5.80e+09	-0.034525
5.90e+09	-0.035722
6.00e+09	-0.036938
6.10e+09	-0.038175
6.20e+09	-0.039432
6.30e+09	-0.040709
6.40e+09	-0.042006
6.50e+09	-0.043324
6.60e+09	-0.044661
6.70e+09	-0.046018
6.80e+09	-0.047396
6.90e+09	-0.048793
7.00e+09	-0.050210
7.10e+09	-0.051648
7.20e+09	-0.053105
7.30e+09	-0.054583
7.40e+09	-0.056080
7.50e+09	-0.057597
7.60e+09	-0.059134
7.70e+09	-0.060691
7.80e+09	-0.062268
7.90e+09	-0.063864
8.00e+09	-0.065481
8.10e+09	-0.067117
8.20e+09	-0.068773
8.30e+09	-0.070449
8.40e+09	-0.072144
8.50e+09	-0.073860
8.60e+09	-0.075595
8.70e+09	-0.077349
8.80e+09	-0.079123
8.90e+09	-0.080917
9.00e+09	-0.082731
9.10e+09	-0.084564
9.20e+09	-0.086417
9.30e+09	-0.088289
9.40e+09	-0.090181
9.50e+09	-0.092092
9.60e+09	-0.094023
9.70e+09	-0.095973
9.80e+09	-0.097943
9.90e+09	-0.099932
1.00e+10	-0.101940
1.01e+10	-0.103968
1.02e+10	-0.106015
1.03e+10	-0.108082
1.04e+10	-0.110168
1.05e+10	-0.112273
1.06e+10	-0.114397
1.07e+10	-0.116541
1.08e+10	-0.118703
1.09e+10	-0.120885
1.10e+10	-0.123086
1.11e+10	-0.125306
1.12e+10	-0.127546
1.13e+10	-0.129804
1.14e+10	-0.132081
1.15e+10	-0.134378
1.16e+10	-0.136693
1.17e+10	-0.139027
1.18e+10	-0.141381
1.19e+10	-0.143753
1.20e+10	-0.146144
1.21e+10	-0.148554
1.22e+10	-0.150983
1.23e+10	-0.153430
1.24e+10	-0.155896
1.25e+10	-0.158381
1.26e+10	-0.160885
1.27e+10	-0.163408
1.28e+10	-0.165949
1.29e+10	-0.168508
1.30e+10	-0.171087
1.31e+10	-0.173683
1.32e+10	-0.176299
1.33e+10	-0.178933
1.34e+10	-0.181585
1.35e+10	-0.184256
1.36e+10	-0.186945
1.37e+10	-0.189653
1.38e+10	-0.192379
1.39e+10	-0.195123
1.40e+10	-0.197886
1.41e+10	-0.200666
1.42e+10	-0.203466
1.43e+10	-0.206283
1.44e+10	-0.209118
1.45e+10	-0.211972
1.46e+10	-0.214844
1.47e+10	-0.217733
1.48e+10	-0.220641
1.49e+10	-0.223567
1.50e+10	-0.226511
1.51e+10	-0.229472
1.52e+10	-0.232452
1.53e+10	-0.235450
1.54e+10	-0.238465
1.55e+10	-0.241498
1.56e+10	-0.244549
1.57e+10	-0.247618
1.58e+10	-0.250704
1.59e+10	-0.253808
1.60e+10	-0.256930
1.61e+10	-0.260069
1.62e+10	-0.263226
1.63e+10	-0.266400
1.64e+10	-0.269592
1.65e+10	-0.272802
1.66e+10	-0.276028
1.67e+10	-0.279273
1.68e+10	-0.282534
1.69e+10	-0.285813
1.70e+10	-0.289109
1.71e+10	-0.292423
1.72e+10	-0.295753
1.73e+10	-0.299101
1.74e+10	-0.302466
1.75e+10	-0.305848
1.76e+10	-0.309248
1.77e+10	-0.312664
1.78e+10	-0.316097
1.79e+10	-0.319547
1.80e+10	-0.323014
1.81e+10	-0.326498
1.82e+10	-0.329999
1.83e+10	-0.333517
1.84e+10	-0.337051
1.85e+10	-0.340603
1.86e+10	-0.344170
1.87e+10	-0.347755
1.88e+10	-0.351356
1.89e+10	-0.354974
1.90e+10	-0.358608
1.91e+10	-0.362259
1.92e+10	-0.365927
1.93e+10	-0.369611
1.94e+10	-0.373311
1.95e+10	-0.377027
1.96e+10	-0.380760
1.97e+10	-0.384509
1.98e+10	-0.388275
1.99e+10	-0.392057
2.00e+10	-0.395854
2.01e+10	-0.399668
2.02e+10	-0.403498
2.03e+10	-0.407344
2.04e+10	-0.411207
2.05e+10	-0.415085
2.06e+10	-0.418979
2.07e+10	-0.422889
2.08e+10	-0.426814
2.09e+10	-0.430756
2.10e+10	-0.434713
2.11e+10	-0.438687
2.12e+10	-0.442675
2.13e+10	-0.446680
2.14e+10	-0.450700
2.15e+10	-0.454736
2.16e+10	-0.458787
2.17e+10	-0.462853
2.18e+10	-0.466936
2.19e+10	-0.471033
2.20e+10	-0.475146
2.21e+10	-0.479274
2.22e+10	-0.483418
2.23e+10	-0.487577
2.24e+10	-0.491751
2.25e+10	-0.495940
2.26e+10	-0.500144
2.27e+10	-0.504364
2.28e+10	-0.508598
2.29e+10	-0.512848
2.30e+10	-0.517112
2.31e+10	-0.521392
2.32e+10	-0.525686
2.33e+10	-0.529995
2.34e+10	-0.534319
2.35e+10	-0.538657
2.36e+10	-0.543011
2.37e+10	-0.547379
2.38e+10	-0.551762
2.39e+10	-0.556159
2.40e+10	-0.560571
2.41e+10	-0.564997
2.42e+10	-0.569438
2.43e+10	-0.573893
2.44e+10	-0.578363
2.45e+10	-0.582846
2.46e+10	-0.587345
2.47e+10	-0.591857
2.48e+10	-0.596384
2.49e+10	-0.600925
2.50e+10	-0.605480
2.51e+10	-0.610049
2.52e+10	-0.614632
2.53e+10	-0.619229
2.54e+10	-0.623840
2.55e+10	-0.628465
2.56e+10	-0.633104
2.57e+10	-0.637757
2.58e+10	-0.642423
2.59e+10	-0.647103
2.60e+10	-0.651797
2.61e+10	-0.656505
2.62e+10	-0.661226
2.63e+10	-0.665961
2.64e+10	-0.670709
2.65e+10	-0.675471
2.66e+10	-0.680246
2.67e+10	-0.685035
2.68e+10	-0.689837
2.69e+10	-0.694652
2.70e+10	-0.699481
2.71e+10	-0.704323
2.72e+10	-0.709178
2.73e+10	-0.714046
2.74e+10	-0.718927
2.75e+10	-0.723822
2.76e+10	-0.728729
2.77e+10	-0.733649
2.78e+10	-0.738583
2.79e+10	-0.743529
2.80e+10	-0.748488
2.81e+10	-0.753460
2.82e+10	-0.758444
2.83e+10	-0.763442
2.84e+10	-0.768452
2.85e+10	-0.773474
2.86e+10	-0.778509
2.87e+10	-0.783557
2.88e+10	-0.788617
2.89e+10	-0.793690
2.90e+10	-0.798775
2.91e+10	-0.803872
2.92e+10	-0.808982
2.93e+10	-0.814104
2.94e+10	-0.819239
2.95e+10	-0.824385
2.96e+10	-0.829544
2.97e+10	-0.834715
2.98e+10	-0.839898
2.99e+10	-0.845092
3.00e+10	-0.850299
3.01e+10	-0.855518
3.02e+10	-0.860749
3.03e+10	-0.865991
3.04e+10	-0.871246
3.05e+10	-0.876512
3.06e+10	-0.881790
3.07e+10	-0.887079
3.08e+10	-0.892381
3.09e+10	-0.897693
3.10e+10	-0.903018
3.11e+10	-0.908354
3.12e+10	-0.913701
3.13e+10	-0.919060
3.14e+10	-0.924430
3.15e+10	-0.929811
3.16e+10	-0.935204
3.17e+10	-0.940608
3.18e+10	-0.946024
3.19e+10	-0.951450
3.20e+10	-0.956887
3.21e+10	-0.962336
3.22e+10	-0.967796
3.23e+10	-0.973266
3.24e+10	-0.978748
3.25e+10	-0.984241
3.26e+10	-0.989744
3.27e+10	-0.995258
3.28e+10	-1.000783
3.29e+10	-1.006319
3.30e+10	-1.011866
3.31e+10	-1.017423
3.32e+10	-1.022990
3.33e+10	-1.028569
3.34e+10	-1.034158
3.35e+10	-1.039757
3.36e+10	-1.045367
3.37e+10	-1.050987
3.38e+10	-1.056618
3.39e+10	-1.062259
3.40e+10	-1.067910
3.41e+10	-1.073571
3.42e+10	-1.079243
3.43e+10	-1.084924
3.44e+10	-1.090616
3.45e+10	-1.096318
3.46e+10	-1.102030
3.47e+10	-1.107752
3.48e+10	-1.113484
3.49e+10	-1.119226
3.50e+10	-1.124978
3.51e+10	-1.130739
3.52e+10	-1.136510
3.53e+10	-1.142291
3.54e+10	-1.148082
3.55e+10	-1.153882
3.56e+10	-1.159692
3.57e+10	-1.165512
3.58e+10	-1.171341
3.59e+10	-1.177179
3.60e+10	-1.183027
3.61e+10	-1.188885
3.62e+10	-1.194752
3.63e+10	-1.200628
3.64e+10	-1.206513
3.65e+10	-1.212408
3.66e+10	-1.218311
3.67e+10	-1.224224
3.68e+10	-1.230147
3.69e+10	-1.236078
3.70e+10	-1.242018
3.71e+10	-1.247967
3.72e+10	-1.253925
3.73e+10	-1.259892
3.74e+10	-1.265868
3.75e+10	-1.271853
3.76e+10	-1.277847
3.77e+10	-1.283849
3.78e+10	-1.289860
3.79e+10	-1.295880
3.80e+10	-1.301908
3.81e+10	-1.307945
3.82e+10	-1.313991
3.83e+10	-1.320045
3.84e+10	-1.326108
3.85e+10	-1.332179
3.86e+10	-1.338258
3.87e+10	-1.344346
3.88e+10	-1.350442
3.89e+10	-1.356546
3.90e+10	-1.362659
3.91e+10	-1.368779
3.92e+10	-1.374908
3.93e+10	-1.381045
3.94e+10	-1.387191
3.95e+10	-1.393344
3.96e+10	-1.399505
3.97e+10	-1.405674
3.98e+10	-1.411851
3.99e+10	-1.418036
4.00e+10	-1.424229
4.01e+10	-1.430430
4.02e+10	-1.436638
4.03e+10	-1.442854
4.04e+10	-1.449078
4.05e+10	-1.455310
4.06e+10	-1.461549
4.07e+10	-1.467795
4.08e+10	-1.474050
4.09e+10	-1.480311
4.10e+10	-1.486581
4.11e+10	-1.492857
4.12e+10	-1.499141
4.13e+10	-1.505433
4.14e+10	-1.511732
4.15e+10	-1.518038
4.16e+10	-1.524351
4.17e+10	-1.530671
4.18e+10	-1.536999
4.19e+10	-1.543334
4.20e+10	-1.549675
4.21e+10	-1.556024
4.22e+10	-1.562380
4.23e+10	-1.568743
4.24e+10	-1.575113
4.25e+10	-1.581490
4.26e+10	-1.587873
4.27e+10	-1.594264
4.28e+10	-1.600661
4.29e+10	-1.607065
4.30e+10	-1.613476
4.31e+10	-1.619893
4.32e+10	-1.626317
4.33e+10	-1.632748
4.34e+10	-1.639185
4.35e+10	-1.645629
4.36e+10	-1.652079
4.37e+10	-1.658536
4.38e+10	-1.664999
4.39e+10	-1.671469
4.40e+10	-1.677945
4.41e+10	-1.684427
4.42e+10	-1.690916
4.43e+10	-1.697411
4.44e+10	-1.703912
4.45e+10	-1.710419
4.46e+10	-1.716932
4.47e+10	-1.723452
4.48e+10	-1.729978
4.49e+10	-1.736509
4.50e+10	-1.743047
4.51e+10	-1.749591
4.52e+10	-1.756140
4.53e+10	-1.762696
4.54e+10	-1.769257
4.55e+10	-1.775825
4.56e+10	-1.782398
4.57e+10	-1.788976
4.58e+10	-1.795561
4.59e+10	-1.802151
4.60e+10	-1.808747
4.61e+10	-1.815349
4.62e+10	-1.821956
4.63e+10	-1.828569
4.64e+10	-1.835187
4.65e+10	-1.841811
4.66e+10	-1.848440
4.67e+10	-1.855075
4.68e+10	-1.861715
4.69e+10	-1.868360
4.70e+10	-1.875011
4.71e+10	-1.881667
4.72e+10	-1.888329
4.73e+10	-1.894995
4.74e+10	-1.901667
4.75e+10	-1.908344
4.76e+10	-1.915026
4.77e+10	-1.921713
4.78e+10	-1.928406
4.79e+10	-1.935103
4.80e+10	-1.941805
4.81e+10	-1.948513
4.82e+10	-1.955225
4.83e+10	-1.961942
4.84e+10	-1.968664
4.85e+10	-1.975391
4.86e+10	-1.982123
4.87e+10	-1.988859
4.88e+10	-1.995601
4.89e+10	-2.002347
4.90e+10	-2.009097
4.91e+10	-2.015853
4.92e+10	-2.022613
4.93e+10	-2.029377
4.94e+10	-2.036146
4.95e+10	-2.042920
4.96e+10	-2.049698
4.97e+10	-2.056481
4.98e+10	-2.063268
4.99e+10	-2.070060
5.00e+10	-2.076855
5.01e+10	-2.083656
5.02e+10	-2.090460
5.03e+10	-2.097269
5.04e+10	-2.104082
5.05e+10	-2.110900
5.06e+10	-2.117721
5.07e+10	-2.124547
5.08e+10	-2.131377
5.09e+10	-2.138211
5.10e+10	-2.145049
5.11e+10	-2.151891
5.12e+10	-2.158737
5.13e+10	-2.165588
5.14e+10	-2.172442
5.15e+10	-2.179300
5.16e+10	-2.186162
5.17e+10	-2.193028
5.18e+10	-2.199897
5.19e+10	-2.206771
5.20e+10	-2.213648
5.21e+10	-2.220529
5.22e+10	-2.227414
5.23e+10	-2.234303
5.24e+10	-2.241195
5.25e+10	-2.248091
5.26e+10	-2.254990
5.27e+10	-2.261893
5.28e+10	-2.268800
5.29e+10	-2.275710
5.30e+10	-2.282624
5.31e+10	-2.289541
5.32e+10	-2.296462
5.33e+10	-2.303386
5.34e+10	-2.310313
5.35e+10	-2.317244
5.36e+10	-2.324178
5.37e+10	-2.331116
5.38e+10	-2.338057
5.39e+10	-2.345001
