# Frequency (Hz)	EO Bandwidth (dB)
1.00e+08	-0.000018
2.00e+08	-0.000072
3.00e+08	-0.000162
4.00e+08	-0.000288
5.00e+08	-0.000450
6.00e+08	-0.000648
7.00e+08	-0.000882
8.00e+08	-0.001152
9.00e+08	-0.001459
1.00e+09	-0.001801
1.10e+09	-0.002179
1.20e+09	-0.002593
1.30e+09	-0.003043
1.40e+09	-0.003529
1.50e+09	-0.004050
1.60e+09	-0.004608
1.70e+09	-0.005202
1.80e+09	-0.005832
1.90e+09	-0.006497
2.00e+09	-0.007199
2.10e+09	-0.007936
2.20e+09	-0.008709
2.30e+09	-0.009518
2.40e+09	-0.010363
2.50e+09	-0.011243
2.60e+09	-0.012159
2.70e+09	-0.013112
2.80e+09	-0.014099
2.90e+09	-0.015123
3.00e+09	-0.016182
3.10e+09	-0.017277
3.20e+09	-0.018408
3.30e+09	-0.019574
3.40e+09	-0.020775
3.50e+09	-0.022013
3.60e+09	-0.023286
3.70e+09	-0.024594
3.80e+09	-0.025938
3.90e+09	-0.027317
4.00e+09	-0.028732
4.10e+09	-0.030182
4.20e+09	-0.031668
4.30e+09	-0.033189
4.40e+09	-0.034745
4.50e+09	-0.036336
4.60e+09	-0.037963
4.70e+09	-0.039625
4.80e+09	-0.041322
4.90e+09	-0.043054
5.00e+09	-0.044822
5.10e+09	-0.046624
5.20e+09	-0.048461
5.30e+09	-0.050334
5.40e+09	-0.052241
5.50e+09	-0.054183
5.60e+09	-0.056160
5.70e+09	-0.058172
5.80e+09	-0.060219
5.90e+09	-0.062301
6.00e+09	-0.064417
6.10e+09	-0.066567
6.20e+09	-0.068753
6.30e+09	-0.070973
6.40e+09	-0.073227
6.50e+09	-0.075516
6.60e+09	-0.077839
6.70e+09	-0.080197
6.80e+09	-0.082589
6.90e+09	-0.085015
7.00e+09	-0.087476
7.10e+09	-0.089970
7.20e+09	-0.092499
7.30e+09	-0.095062
7.40e+09	-0.097659
7.50e+09	-0.100290
7.60e+09	-0.102954
7.70e+09	-0.105653
7.80e+09	-0.108385
7.90e+09	-0.111151
8.00e+09	-0.113951
8.10e+09	-0.116784
8.20e+09	-0.119651
8.30e+09	-0.122552
8.40e+09	-0.125485
8.50e+09	-0.128453
